,0,1,2
0,1949,Wheaton Field House                ,atlanta hawks
1,1950,Wheaton Field House                ,atlanta hawks
2,1951,Milwaukee Arena                ,atlanta hawks
3,1952,Milwaukee Arena                ,atlanta hawks
4,1953,Milwaukee Arena                ,atlanta hawks
5,1954,Milwaukee Arena                ,atlanta hawks
6,1955,Kiel Auditorium             ,atlanta hawks
7,1956,Kiel Auditorium             ,atlanta hawks
8,1957,Kiel Auditorium             ,atlanta hawks
9,1958,Kiel Auditorium             ,atlanta hawks
10,1959,Kiel Auditorium             ,atlanta hawks
11,1960,Kiel Auditorium             ,atlanta hawks
12,1961,Kiel Auditorium             ,atlanta hawks
13,1962,Kiel Auditorium             ,atlanta hawks
14,1963,Kiel Auditorium             ,atlanta hawks
15,1964,Kiel Auditorium             ,atlanta hawks
16,1965,Kiel Auditorium             ,atlanta hawks
17,1966,Kiel Auditorium             ,atlanta hawks
18,1967,Kiel Auditorium             ,atlanta hawks
19,1968,Alexander Memorial Coliseum       ,atlanta hawks
20,1969,Alexander Memorial Coliseum       ,atlanta hawks
21,1970,Alexander Memorial Coliseum       ,atlanta hawks
22,1971,Alexander Memorial Coliseum       ,atlanta hawks
23,1972,Omni Coliseum                     ,atlanta hawks
24,1973,Omni Coliseum                     ,atlanta hawks
25,1974,Omni Coliseum                     ,atlanta hawks
26,1975,Omni Coliseum                     ,atlanta hawks
27,1976,Omni Coliseum                     ,atlanta hawks
28,1977,Omni Coliseum                     ,atlanta hawks
29,1978,Omni Coliseum                     ,atlanta hawks
30,1979,Omni Coliseum                     ,atlanta hawks
31,1980,Omni Coliseum                     ,atlanta hawks
32,1981,Omni Coliseum                     ,atlanta hawks
33,1982,Omni Coliseum                     ,atlanta hawks
34,1983,Omni Coliseum                     ,atlanta hawks
35,1984,Omni Coliseum                     ,atlanta hawks
36,1985,Omni Coliseum                     ,atlanta hawks
37,1986,Omni Coliseum                     ,atlanta hawks
38,1987,Omni Coliseum                     ,atlanta hawks
39,1988,Omni Coliseum                     ,atlanta hawks
40,1989,Omni Coliseum                     ,atlanta hawks
41,1990,Omni Coliseum                     ,atlanta hawks
42,1991,Omni Coliseum                     ,atlanta hawks
43,1992,Omni Coliseum                     ,atlanta hawks
44,1993,Omni Coliseum                     ,atlanta hawks
45,1994,Omni Coliseum                     ,atlanta hawks
46,1995,Omni Coliseum                     ,atlanta hawks
47,1996,Omni Coliseum                     ,atlanta hawks
48,1997,Georgia Dome                     ,atlanta hawks
49,1998,Georgia Dome                     ,atlanta hawks
50,1999,Philips Arena                    ,atlanta hawks
51,2000,Philips Arena                    ,atlanta hawks
52,2001,Philips Arena                    ,atlanta hawks
53,2002,Philips Arena                    ,atlanta hawks
54,2003,Philips Arena                    ,atlanta hawks
55,2004,Philips Arena                    ,atlanta hawks
56,2005,Philips Arena                    ,atlanta hawks
57,2006,Philips Arena                    ,atlanta hawks
58,2007,Philips Arena                    ,atlanta hawks
59,2008,Philips Arena                    ,atlanta hawks
60,2009,Philips Arena                    ,atlanta hawks
61,2010,Philips Arena                    ,atlanta hawks
62,2011,Philips Arena                    ,atlanta hawks
63,2012,Philips Arena                    ,atlanta hawks
64,2013,Philips Arena                    ,atlanta hawks
65,2014,Philips Arena                    ,atlanta hawks
66,2015,Philips Arena                    ,atlanta hawks
67,2016,Philips Arena                    ,atlanta hawks
68,2017,Philips Arena                    ,atlanta hawks
69,2018,Philips Arena                    ,atlanta hawks
70,1946,Boston Garden                     ,boston celtics
71,1947,Boston Garden                     ,boston celtics
72,1948,Boston Garden                     ,boston celtics
73,1949,Boston Garden                     ,boston celtics
74,1950,Boston Garden                     ,boston celtics
75,1951,Boston Garden                     ,boston celtics
76,1952,Boston Garden                     ,boston celtics
77,1953,Boston Garden                     ,boston celtics
78,1954,Boston Garden                     ,boston celtics
79,1955,Boston Garden                     ,boston celtics
80,1956,Boston Garden                     ,boston celtics
81,1957,Boston Garden                     ,boston celtics
82,1958,Boston Garden                     ,boston celtics
83,1959,Boston Garden                     ,boston celtics
84,1960,Boston Garden                     ,boston celtics
85,1961,Boston Garden                     ,boston celtics
86,1962,Boston Garden                     ,boston celtics
87,1963,Boston Garden                     ,boston celtics
88,1964,Boston Garden                     ,boston celtics
89,1965,Boston Garden                     ,boston celtics
90,1966,Boston Garden                     ,boston celtics
91,1967,Boston Garden                     ,boston celtics
92,1968,Boston Garden                     ,boston celtics
93,1969,Boston Garden                     ,boston celtics
94,1970,Boston Garden                     ,boston celtics
95,1971,Boston Garden                     ,boston celtics
96,1972,Boston Garden                     ,boston celtics
97,1973,Boston Garden                     ,boston celtics
98,1974,Boston Garden                     ,boston celtics
99,1975,Boston Garden                     ,boston celtics
100,1976,Boston Garden                     ,boston celtics
101,1977,Boston Garden                     ,boston celtics
102,1978,Boston Garden                     ,boston celtics
103,1979,Boston Garden                     ,boston celtics
104,1980,Boston Garden                     ,boston celtics
105,1981,Boston Garden                     ,boston celtics
106,1982,Boston Garden                     ,boston celtics
107,1983,Boston Garden                     ,boston celtics
108,1984,Boston Garden                     ,boston celtics
109,1985,Boston Garden                     ,boston celtics
110,1986,Boston Garden                     ,boston celtics
111,1987,Boston Garden                     ,boston celtics
112,1988,Boston Garden                     ,boston celtics
113,1989,Boston Garden                     ,boston celtics
