,StartYear,EndYear,Venue,City,Capacity,Team,ABV
11,1949,1951,Wheaton Field House                ,"Moline,IL","6,000",Atlanta Hawks ,ATL
12,1951,1955,Milwaukee Arena                ,"Milwaukee,WI","11,000",Atlanta Hawks ,ATL
13,1955,1968,Kiel Auditorium             ,"St.Louis,MO","10,000",Atlanta Hawks ,ATL
14,1968,1972,Alexander Memorial Coliseum       ,"Atlanta,GA","7,166",Atlanta Hawks ,ATL
15,1972,1997,Omni Coliseum                     ,"Atlanta,GA","6,378",Atlanta Hawks ,ATL
16,1997,1999,Georgia Dome                     ,"Atlanta,GA","21,570",Atlanta Hawks ,ATL
18,1999,2019,Philips Arena                    ,"Atlanta,GA","20,000",Atlanta Hawks ,ATL
27,1946,1995,Boston Garden                     ,"Boston,MA","14,890",Boston Celtics,BOS
28,1995,2005,Fleet Center                      ,"Boston,MA","18,624",Boston Celtics,BOS
29,2005,2019,TD Garden                         ,"Boston,MA","18,624",Boston Celtics,BOS
38,2004,2019,Time Warner Cable Arena          ,"Charlotte,NC","19,077",Charolette Hornets,CHA
46,1966,1967,Chicago Amphitheater             ,"Chicago,IL","11,002",Chicago Bulls,CHI
47,1967,1994,Chicago Stadium                  ,"Chicago,IL","18,676",Chicago Bulls,CHI
48,1994,2019,United Center                    ,"Chicago,IL","21,711",Chicago Bulls,CHI
56,1970,1974,Cleveland Arena                ,"Cleveland,OH","11,000",Cleveland Cavaliers,CLE
57,1974,1994,The Coliseum                    ,"Richfield,OH","20,273",Cleveland Cavaliers,CLE
58,1994,2005,Gund Arena                     ,"Cleveland,OH","20,562",Cleveland Cavaliers,CLE
59,2005,2019,Quicken Loans Arean            ,"Cleveland,OH","20,562",Cleveland Cavaliers,CLE
67,1980,2001,Reunion Arena                     ,"Dallas,TX","18,042",Dallas Mavericks,DAL
68,2001,2019,American Airlines Arena           ,"Dallas,TX","19,200",Dallas Mavericks,DAL
76,1967,1975,Auditorium Arena                   ,"Denver,CO","6,841",Denver Nuggets,DEN
77,1975,1999,McNichols Sports Arena            ,"Denver,CO","17,171",Denver Nuggets,DEN
78,1999,2019,Pepsi Center                      ,"Denver,CO","19,309",Denver Nuggets,DEN
87,1948,1952,North Side High School Gym   Fort   ,"Wayne,IN","3,800",Detroit Pistons,DET
88,1952,1957,Memorial Coliseum            Fort   ,"Wayne,IN","9,306",Detroit Pistons,DET
89,1957,1961,Olympia Stadium                  ,"Detroit,MI","14,000",Detroit Pistons,DET
90,1961,1978,Cobo Arena                       ,"Detroit,MI","11,147",Detroit Pistons,DET
91,1978,1988,Silverdome                       ,"Pontiac,MI","22,366",Detroit Pistons,DET
92,1988,2019,Palace of Auburn       ,Auburn Hills,"21,454",Detroit Pistons,DET
100,1946,1952,Philadelphia Arena              ,"Philadelphia,PA","7,777",Golden State Warriors ,GSW
101,1952,1962,Convention Hall                 ,"Philadelphia,PA","9,200",Golden State Warriors ,GSW
103,1962,1964,Cow Palace                  ,"San Francisco,CA","13,862",Golden State Warriors ,GSW
104,1964,1966,Civic Auditorium          ,"San Francisco,CA","7,500",Golden State Warriors ,GSW
106,1966,1967,Cow Palace       ,"San Francisco,CA","13,862",Golden State Warriors ,GSW
109,1967,1971,Cow Palace              ,"San Francisco,CA","14,500",Golden State Warriors ,GSW
110,1971,1996,Oakland Coliseum        ,"Oakland,CA","15,025",Golden State Warriors ,GSW
111,1996,1997,San Jose Arena      ,"San Jose,CA","18,500",Golden State Warriors ,GSW
112,1997,2006,The Arena in Oakland                ,"Oakland,CA","19,200",Golden State Warriors ,GSW
113,2006,2019,Oracle Arena                        ,"Oakland,CA","19,596",Golden State Warriors ,GSW
121,1967,1971,San Diego Sports Arena,"San Diego,CA","14,000",Houston Rockets,HOU
122,1971,1972,Hofheinz Pavilion                ,"Houston,TX","10,218",Houston Rockets,HOU
123,1972,1973,Hofheinz Pavilion                ,"Houston,TX","10,218",Houston Rockets,HOU
125,1973,1975,Hofheinz Pavilion                ,"Houston,TX","10,218",Houston Rockets,HOU
126,1975,2003,Compaq Center                    ,"Houston,TX","16,285",Houston Rockets,HOU
127,2003,2019,Toyota Center,"Houston,TX","18,300",Houston Rockets,HOU
135,1967,1974,State Fairgrounds              ,"Indianapolis,IN","9,479",Indiana Pacers,IND
136,1974,1999,Market Square Arena           ,"Indianapolis,IN","16,530",Indiana Pacers,IND
137,1999,2010,Conseco Fieldhouse            ,"Indianapolis,IN","19,200",Indiana Pacers,IND
138,2010,2019,Bankers Life Fieldhouse       ,"Indianapolis,IN","18,165",Indiana Pacers,IND
146,1970,1978,Memorial Auditorium              ,"Buffalo,NY","17,300",Los Angeles Clippers ,LAC
147,1978,1984,San Diego Sports Arena  ,"San Diego,CA","12,167",Los Angeles Clippers ,LAC
148,1985,1994,Los Angeles Sports Arena  ,"Los Angeles,CA","16,005",Los Angeles Clippers ,LAC
149,1994,1999,Los Angeles Sports Arena ,"Los Angeles,CA","16,021",Los Angeles Clippers ,LAC
150,1999,2019,Staples Center   ,"Los Angeles,CA","19,060",Los Angeles Clippers ,LAC
159,1948,1960,Minneapolis Auditorium        ,"Minneapolis,MN","10,000",Los Angeles Lakers ,LAL
160,1960,1967,Los Angeles Sports Arena  ,"Los Angeles,CA","14,781",Los Angeles Lakers ,LAL
161,1967,1999,Great Western Forum             ,"Inglewood,CA","17,505",Los Angeles Lakers ,LAL
162,1999,2019,Staples Center              ,"Los Angeles,CA","19,060",Los Angeles Lakers ,LAL
171,1995,2001,General Motors Place           ,"Vancouver,BC","19,193",Memphis Grizzlies,MEM
172,2001,2004,The Pryamid                     ,"Memphis,Ten","20,142",Memphis Grizzlies,MEM
173,2004,2019,FedEx Forum                      ,"Memphis,Ten","18,119",Memphis Grizzlies,MEM
182,1988,1999,Miami Arena                        ,"Miami,FL","15,200",Miami Heat,MIA
183,1999,2019,American Airlines Arena            ,"Miami,FL","19,600",Miami Heat,MIA
192,1989,1990,Hubert H. Humphrey Metrodome   ,"Minneapolis,MN","23,000",Minnesota Timberwolves,MIN
193,1990,2019,Target Center                 ,"Minneapolis,MN","19,006",Minnesota Timberwolves,MIN
202,1968,1988,Milwaukee Arena                ,"Milwaukee,WI","11,052",Milwaukee Bucks,MIL
203,1988,2019,Bradley Center                 ,"Milwaukee,WI","18,600",Milwaukee Bucks,MIL
212,1967,1968,Teaneck Armory                    ,"Teaneck,NJ","3,500",Brooklyn Nets,BKN
213,1968,1969,Long Island Arena                 ,"Commack,NY","6,500",Brooklyn Nets,BKN
214,1969,1971,Island Garden            ,"W. Hempstead,NY","5,200",Brooklyn Nets,BKN
215,1971,1977,Nassau Coliseum                ,"Uniondale,NY","15,200",Brooklyn Nets,BKN
216,1977,1981,Rutgers Athletic Center        ,"Piscataway,NJ","9,050",Brooklyn Nets,BKN
217,1981,2012,Continental Airlines Arena    ,"E.Rutherford,NJ","20,049",Brooklyn Nets,BKN
218,2012,2019,Barclays Center                  ,"Brooklyn,NY","17,732",Brooklyn Nets,BKN
227,1988,2001,Charlotte Coliseum              ,"Charlotte,NC","24,042",New Orleans Pelicans,NOP
228,2002,2014,New Orleans Arena         ,"New Orleans,LA","16,867",New Orleans Pelicans,NOP
229,2014,2019,Smoothie King Center     ,"New Orleans,LA","16,867",New Orleans Pelicans,NOP
238,1946,1968,Madison Square Garden III     ,"New York,NY","18,496",New York Knicks,NYK
239,1968,2019,Madison Square Garden IV    ,"New York,NY","19,812",New York Knicks,NYK
248,1989,1997,Orlando Arena                     ,"Orlando,FL","17,248",Orlando Magic,ORL
249,1997,2010,TD Waterhouse Arena               ,"Orlando,FL","17,248",Orlando Magic,ORL
250,2010,2019,Amway Center                      ,"Orlando,FL","18,846",Orlando Magic,ORL
259,1949,1951,State Fair Coliseum               ,"Syracuse,NY","7,500",Philadelphia Sixers,PHI
260,1951,1963,Onondaga County War Memorial      ,"Syracuse,NY","8,000",Philadelphia Sixers,PHI
261,1963,1967,Convention Hall               ,"Philadelphia,PA","12,000",Philadelphia Sixers,PHI
263,1967,1996,First Union Spectrum          ,"Philadelphia,PA","18,136",Philadelphia Sixers,PHI
264,1996,2003,First Union Center            ,"Philadelphia,PA","20,444",Philadelphia Sixers,PHI
265,2003,2010,Wahcovia center                 ,"Philadelphia,PA","20,444",Philadelphia Sixers,PHI
266,2010,2019,Wells Fargo Center            ,"Philadelphia,PA","20,328",Philadelphia Sixers,PHI
275,1968,1992,Arizona Veterans' Memorial Coliseum   ,"Phoenix,AZ","14,487",Phoenix Suns,PHX
276,1992,2015,America West Arena                ,"Phoenix,AZ","19,023",Phoenix Suns,PHX
277,2015,2019,Talking Stick Resort Arena        ,"Phoenix,AZ","18,422",Phoenix Suns,PHX
286,1970,1995,Memorial Coliseum                ,"Portland,OR","12,888",Portland Trailblazers ,POR
287,1995,2014,Rose Garden                      ,"Portland,OR","21,538",Portland Trailblazers ,POR
288,2014,2019,Moda Center                      ,"Portland,OR","19,980",Portland Trailblazers ,POR
297,1948,1955,Edgarton Park Arena              ,"Rochester,NY","5,000",Sacramento Kings ,SAC
298,1955,1958,Rochester War Memorial          ,"Rochester,NY","10,000",Sacramento Kings ,SAC
