,year,venue,team,abv
0,1949,Wheaton Field House                ,Atlanta Hawks ,ATL
1,1950,Wheaton Field House                ,Atlanta Hawks ,ATL
2,1951,Milwaukee Arena                ,Atlanta Hawks ,ATL
3,1952,Milwaukee Arena                ,Atlanta Hawks ,ATL
4,1953,Milwaukee Arena                ,Atlanta Hawks ,ATL
5,1954,Milwaukee Arena                ,Atlanta Hawks ,ATL
6,1955,Kiel Auditorium             ,Atlanta Hawks ,ATL
7,1956,Kiel Auditorium             ,Atlanta Hawks ,ATL
8,1957,Kiel Auditorium             ,Atlanta Hawks ,ATL
9,1958,Kiel Auditorium             ,Atlanta Hawks ,ATL
10,1959,Kiel Auditorium             ,Atlanta Hawks ,ATL
11,1960,Kiel Auditorium             ,Atlanta Hawks ,ATL
12,1961,Kiel Auditorium             ,Atlanta Hawks ,ATL
13,1962,Kiel Auditorium             ,Atlanta Hawks ,ATL
14,1963,Kiel Auditorium             ,Atlanta Hawks ,ATL
15,1964,Kiel Auditorium             ,Atlanta Hawks ,ATL
16,1965,Kiel Auditorium             ,Atlanta Hawks ,ATL
17,1966,Kiel Auditorium             ,Atlanta Hawks ,ATL
18,1967,Kiel Auditorium             ,Atlanta Hawks ,ATL
19,1968,Alexander Memorial Coliseum       ,Atlanta Hawks ,ATL
20,1969,Alexander Memorial Coliseum       ,Atlanta Hawks ,ATL
21,1970,Alexander Memorial Coliseum       ,Atlanta Hawks ,ATL
22,1971,Alexander Memorial Coliseum       ,Atlanta Hawks ,ATL
23,1972,Omni Coliseum                     ,Atlanta Hawks ,ATL
24,1973,Omni Coliseum                     ,Atlanta Hawks ,ATL
25,1974,Omni Coliseum                     ,Atlanta Hawks ,ATL
26,1975,Omni Coliseum                     ,Atlanta Hawks ,ATL
27,1976,Omni Coliseum                     ,Atlanta Hawks ,ATL
28,1977,Omni Coliseum                     ,Atlanta Hawks ,ATL
29,1978,Omni Coliseum                     ,Atlanta Hawks ,ATL
30,1979,Omni Coliseum                     ,Atlanta Hawks ,ATL
31,1980,Omni Coliseum                     ,Atlanta Hawks ,ATL
32,1981,Omni Coliseum                     ,Atlanta Hawks ,ATL
33,1982,Omni Coliseum                     ,Atlanta Hawks ,ATL
34,1983,Omni Coliseum                     ,Atlanta Hawks ,ATL
35,1984,Omni Coliseum                     ,Atlanta Hawks ,ATL
36,1985,Omni Coliseum                     ,Atlanta Hawks ,ATL
37,1986,Omni Coliseum                     ,Atlanta Hawks ,ATL
38,1987,Omni Coliseum                     ,Atlanta Hawks ,ATL
39,1988,Omni Coliseum                     ,Atlanta Hawks ,ATL
40,1989,Omni Coliseum                     ,Atlanta Hawks ,ATL
41,1990,Omni Coliseum                     ,Atlanta Hawks ,ATL
42,1991,Omni Coliseum                     ,Atlanta Hawks ,ATL
43,1992,Omni Coliseum                     ,Atlanta Hawks ,ATL
44,1993,Omni Coliseum                     ,Atlanta Hawks ,ATL
45,1994,Omni Coliseum                     ,Atlanta Hawks ,ATL
46,1995,Omni Coliseum                     ,Atlanta Hawks ,ATL
47,1996,Omni Coliseum                     ,Atlanta Hawks ,ATL
48,1997,Georgia Dome                     ,Atlanta Hawks ,ATL
49,1998,Georgia Dome                     ,Atlanta Hawks ,ATL
50,1999,Philips Arena                    ,Atlanta Hawks ,ATL
51,2000,Philips Arena                    ,Atlanta Hawks ,ATL
52,2001,Philips Arena                    ,Atlanta Hawks ,ATL
53,2002,Philips Arena                    ,Atlanta Hawks ,ATL
54,2003,Philips Arena                    ,Atlanta Hawks ,ATL
55,2004,Philips Arena                    ,Atlanta Hawks ,ATL
56,2005,Philips Arena                    ,Atlanta Hawks ,ATL
57,2006,Philips Arena                    ,Atlanta Hawks ,ATL
58,2007,Philips Arena                    ,Atlanta Hawks ,ATL
59,2008,Philips Arena                    ,Atlanta Hawks ,ATL
60,2009,Philips Arena                    ,Atlanta Hawks ,ATL
61,2010,Philips Arena                    ,Atlanta Hawks ,ATL
62,2011,Philips Arena                    ,Atlanta Hawks ,ATL
63,2012,Philips Arena                    ,Atlanta Hawks ,ATL
64,2013,Philips Arena                    ,Atlanta Hawks ,ATL
