year,venue,team
1949,Wheaton Field House                ,atlanta hawks
1950,Wheaton Field House                ,atlanta hawks
1951,Milwaukee Arena                ,atlanta hawks
1952,Milwaukee Arena                ,atlanta hawks
1953,Milwaukee Arena                ,atlanta hawks
1954,Milwaukee Arena                ,atlanta hawks
1955,Kiel Auditorium             ,atlanta hawks
1956,Kiel Auditorium             ,atlanta hawks
1957,Kiel Auditorium             ,atlanta hawks
1958,Kiel Auditorium             ,atlanta hawks
1959,Kiel Auditorium             ,atlanta hawks
1960,Kiel Auditorium             ,atlanta hawks
1961,Kiel Auditorium             ,atlanta hawks
1962,Kiel Auditorium             ,atlanta hawks
1963,Kiel Auditorium             ,atlanta hawks
1964,Kiel Auditorium             ,atlanta hawks
1965,Kiel Auditorium             ,atlanta hawks
1966,Kiel Auditorium             ,atlanta hawks
1967,Kiel Auditorium             ,atlanta hawks
1968,Alexander Memorial Coliseum       ,atlanta hawks
1969,Alexander Memorial Coliseum       ,atlanta hawks
1970,Alexander Memorial Coliseum       ,atlanta hawks
1971,Alexander Memorial Coliseum       ,atlanta hawks
1972,Omni Coliseum                     ,atlanta hawks
1973,Omni Coliseum                     ,atlanta hawks
1974,Omni Coliseum                     ,atlanta hawks
1975,Omni Coliseum                     ,atlanta hawks
1976,Omni Coliseum                     ,atlanta hawks
1977,Omni Coliseum                     ,atlanta hawks
1978,Omni Coliseum                     ,atlanta hawks
1979,Omni Coliseum                     ,atlanta hawks
1980,Omni Coliseum                     ,atlanta hawks
1981,Omni Coliseum                     ,atlanta hawks
1982,Omni Coliseum                     ,atlanta hawks
1983,Omni Coliseum                     ,atlanta hawks
1984,Omni Coliseum                     ,atlanta hawks
1985,Omni Coliseum                     ,atlanta hawks
1986,Omni Coliseum                     ,atlanta hawks
1987,Omni Coliseum                     ,atlanta hawks
1988,Omni Coliseum                     ,atlanta hawks
1989,Omni Coliseum                     ,atlanta hawks
1990,Omni Coliseum                     ,atlanta hawks
1991,Omni Coliseum                     ,atlanta hawks
1992,Omni Coliseum                     ,atlanta hawks
1993,Omni Coliseum                     ,atlanta hawks
1994,Omni Coliseum                     ,atlanta hawks
1995,Omni Coliseum                     ,atlanta hawks
1996,Omni Coliseum                     ,atlanta hawks
1997,Georgia Dome                     ,atlanta hawks
1998,Georgia Dome                     ,atlanta hawks
1999,Philips Arena                    ,atlanta hawks
2000,Philips Arena                    ,atlanta hawks
2001,Philips Arena                    ,atlanta hawks
2002,Philips Arena                    ,atlanta hawks
2003,Philips Arena                    ,atlanta hawks
2004,Philips Arena                    ,atlanta hawks
2005,Philips Arena                    ,atlanta hawks
2006,Philips Arena                    ,atlanta hawks
2007,Philips Arena                    ,atlanta hawks
2008,Philips Arena                    ,atlanta hawks
2009,Philips Arena                    ,atlanta hawks
2010,Philips Arena                    ,atlanta hawks
2011,Philips Arena                    ,atlanta hawks
2012,Philips Arena                    ,atlanta hawks
2013,Philips Arena                    ,atlanta hawks
2014,Philips Arena                    ,atlanta hawks
2015,Philips Arena                    ,atlanta hawks
2016,Philips Arena                    ,atlanta hawks
2017,Philips Arena                    ,atlanta hawks
2018,Philips Arena                    ,atlanta hawks
1946,Boston Garden                     ,boston celtics
1947,Boston Garden                     ,boston celtics
1948,Boston Garden                     ,boston celtics
1949,Boston Garden                     ,boston celtics
1950,Boston Garden                     ,boston celtics
1951,Boston Garden                     ,boston celtics
1952,Boston Garden                     ,boston celtics
1953,Boston Garden                     ,boston celtics
1954,Boston Garden                     ,boston celtics
1955,Boston Garden                     ,boston celtics
1956,Boston Garden                     ,boston celtics
1957,Boston Garden                     ,boston celtics
1958,Boston Garden                     ,boston celtics
1959,Boston Garden                     ,boston celtics
1960,Boston Garden                     ,boston celtics
1961,Boston Garden                     ,boston celtics
1962,Boston Garden                     ,boston celtics
1963,Boston Garden                     ,boston celtics
1964,Boston Garden                     ,boston celtics
1965,Boston Garden                     ,boston celtics
